Order ID,Customer ID,Category, Cookies Shipped   , Revenue , Cost ,Order Date,Ship  Date,Order Status  
413383,152689, YT Restaurants, $936.00 ," $4,680.00 "," $2,340.00 ",12/31/2017,1/5/2018,Shipped
751142,985245, Quick Bite Convenience Stores, $987.00 ," $4,935.00 "," $2,467.50 ",12/31/2017,1/4/2018,Shipped
876056,985245, Quick Bite Convenience Stores, $270.00 ," $1,350.00 ", $675.00 ,12/30/2017,1/3/2018,Shipped
548247,985245, Quick Bite Convenience Stores, $925.00 ," $4,625.00 "," $2,312.50 ",12/30/2017,1/3/2018,Shipped
626350,152689, YT Restaurants, $974.00 ," $4,870.00 "," $2,435.00 ",12/29/2017,1/3/2018,Shipped
200181,325698, Cascade Grovers, $454.00 ," $2,270.00 "," $1,135.00 ",12/30/2017,1/2/2018,Shipped
711368,152689, YT Restaurants, $484.00 ," $2,420.00 "," $1,210.00 ",12/28/2017,1/2/2018,Shipped
958419,325698, Cascade Grovers, $269.00 ," $1,345.00 ", $672.50 ,12/29/2017,1/1/2018,Shipped
808349,985245, Quick Bite Convenience Stores, $396.00 ," $1,980.00 ", $990.00 ,12/29/2017,1/1/2018,Shipped
392582,985245, Quick Bite Convenience Stores, $121.00 , $605.00 , $302.50 ,12/28/2017,1/1/2018,Shipped
415147,152689, YT Restaurants, $373.00 ," $1,865.00 ", $932.50 ,12/27/2017,1/1/2018,Shipped
656789,325698, Cascade Grovers, $118.00 , $590.00 , $295.00 ,12/28/2017,12/30/2017,Shipped
247229,325698, Cascade Grovers, $137.00 , $685.00 , $342.50 ,12/27/2017,12/30/2017,Shipped
532184,985245, Quick Bite Convenience Stores, $574.00 ," $2,870.00 "," $1,435.00 ",12/26/2017,12/30/2017,Shipped
412714,325698, Cascade Grovers, $541.00 ," $2,705.00 "," $1,352.50 ",12/27/2017,12/29/2017,Shipped
771432,325698, Cascade Grovers, $932.00 ," $4,660.00 "," $2,330.00 ",12/27/2017,12/29/2017,Shipped
363695,785432, Park & Eat LLC, $172.00 , $860.00 , $430.00 ,12/24/2017,12/29/2017,Shipped
395821,452584, Acme Grocery Stores, $647.00 ," $3,235.00 "," $1,617.50 ",12/26/2017,12/28/2017,Shipped
234191,325698, Cascade Grovers, $660.00 ," $3,300.00 "," $1,650.00 ",12/26/2017,12/28/2017,Shipped
584039,325698, Cascade Grovers, $907.00 ," $4,535.00 "," $2,267.50 ",12/26/2017,12/28/2017,Shipped
463601,325698, Cascade Grovers, $429.00 ," $2,145.00 "," $1,072.50 ",12/26/2017,12/28/2017,Shipped
826310,325698, Cascade Grovers, $645.00 ," $3,225.00 "," $1,612.50 ",12/26/2017,12/28/2017,Shipped
942932,985245, Quick Bite Convenience Stores, $260.00 ," $1,300.00 ", $650.00 ,12/24/2017,12/27/2017,Shipped
661123,985245, Quick Bite Convenience Stores, $847.00 ," $4,235.00 "," $2,117.50 ",12/24/2017,12/27/2017,Shipped
325363,985245, Quick Bite Convenience Stores, $881.00 ," $4,405.00 "," $2,202.50 ",12/23/2017,12/27/2017,Shipped
510867,985245, Quick Bite Convenience Stores, $183.00 , $915.00 , $457.50 ,12/23/2017,12/27/2017,Shipped
528961,325698, Cascade Grovers, $386.00 ," $1,930.00 ", $965.00 ,12/23/2017,12/26/2017,Shipped
245351,985245, Quick Bite Convenience Stores, $905.00 ," $4,525.00 "," $2,262.50 ",12/22/2017,12/26/2017,Shipped
192645,325698, Cascade Grovers, $810.00 ," $4,050.00 "," $2,025.00 ",12/23/2017,12/25/2017,Shipped
742364,452584, Acme Grocery Stores, $298.00 ," $1,490.00 ", $745.00 ,12/22/2017,12/24/2017,Shipped
515027,152689, YT Restaurants, $151.00 , $755.00 , $377.50 ,12/19/2017,12/24/2017,Shipped
481884,325698, Cascade Grovers, $289.00 ," $1,445.00 ", $722.50 ,12/21/2017,12/23/2017,Shipped
843491,325698, Cascade Grovers, $206.00 ," $1,030.00 ", $515.00 ,12/21/2017,12/23/2017,Shipped
141948,985245, Quick Bite Convenience Stores, $874.00 ," $4,370.00 "," $2,185.00 ",12/19/2017,12/23/2017,Shipped
887683,985245, Quick Bite Convenience Stores, $109.00 , $545.00 , $272.50 ,12/19/2017,12/23/2017,Shipped
709704,985245, Quick Bite Convenience Stores, $879.00 ," $4,395.00 "," $2,197.50 ",12/18/2017,12/22/2017,Shipped
241322,985245, Quick Bite Convenience Stores, $167.00 , $835.00 , $417.50 ,12/18/2017,12/22/2017,Shipped
814674,152689, YT Restaurants, $768.00 ," $3,840.00 "," $1,920.00 ",12/16/2017,12/21/2017,Shipped
336048,152689, YT Restaurants, $762.00 ," $3,810.00 "," $1,905.00 ",12/15/2017,12/20/2017,Shipped
701509,152689, YT Restaurants, $919.00 ," $4,595.00 "," $2,297.50 ",12/15/2017,12/20/2017,Shipped
576307,152689, YT Restaurants, $294.00 ," $1,470.00 ", $735.00 ,12/15/2017,12/20/2017,Shipped
344339,152689, YT Restaurants, $877.00 ," $4,385.00 "," $2,192.50 ",12/14/2017,12/20/2017,Shipped
881420,985245, Quick Bite Convenience Stores, $65.00 , $325.00 , $162.50 ,12/15/2017,12/19/2017,Shipped
451231,325698, Cascade Grovers, $62.00 , $310.00 , $155.00 ,12/16/2017,12/18/2017,Shipped
108434,152689, YT Restaurants, $649.00 ," $3,245.00 "," $1,622.50 ",12/13/2017,12/18/2017,Shipped
449832,785432, Park & Eat LLC, $570.00 ," $2,850.00 "," $1,425.00 ",12/12/2017,12/17/2017,Shipped
890442,785432, Park & Eat LLC, $116.00 , $580.00 , $290.00 ,12/11/2017,12/16/2017,Shipped
331556,985245, Quick Bite Convenience Stores, $414.00 ," $2,070.00 "," $1,035.00 ",12/11/2017,12/15/2017,Shipped
681122,152689, YT Restaurants, $802.00 ," $4,010.00 "," $2,005.00 ",12/10/2017,12/15/2017,Shipped
231255,985245, Quick Bite Convenience Stores, $811.00 ," $4,055.00 "," $2,027.50 ",12/11/2017,12/14/2017,Shipped
746823,985245, Quick Bite Convenience Stores, $329.00 ," $1,645.00 ", $822.50 ,12/10/2017,12/14/2017,Shipped
451315,325698, Cascade Grovers, $828.00 ," $4,140.00 "," $2,070.00 ",12/11/2017,12/13/2017,Shipped
204675,152689, YT Restaurants, $484.00 ," $2,420.00 "," $1,210.00 ",12/8/2017,12/13/2017,Shipped
144951,452584, Acme Grocery Stores, $716.00 ," $3,580.00 "," $1,790.00 ",12/9/2017,12/11/2017,Shipped
567318,325698, Cascade Grovers, $291.00 ," $1,455.00 ", $727.50 ,12/9/2017,12/11/2017,Shipped
127517,325698, Cascade Grovers, $264.00 ," $1,320.00 ", $660.00 ,12/9/2017,12/11/2017,Shipped
439440,452584, Acme Grocery Stores, $199.00 , $995.00 , $497.50 ,12/8/2017,12/10/2017,Shipped
258897,325698, Cascade Grovers, $468.00 ," $2,340.00 "," $1,170.00 ",12/8/2017,12/10/2017,Shipped
962834,985245, Quick Bite Convenience Stores, $164.00 , $820.00 , $410.00 ,12/6/2017,12/10/2017,Shipped
409682,152689, YT Restaurants, $371.00 ," $1,855.00 ", $927.50 ,12/4/2017,12/9/2017,Shipped
769928,325698, Cascade Grovers, $532.00 ," $2,660.00 "," $1,330.00 ",12/6/2017,12/8/2017,Shipped
264008,785432, Park & Eat LLC, $454.00 ," $2,270.00 "," $1,135.00 ",12/4/2017,12/8/2017,Shipped
851540,325698, Cascade Grovers, $283.00 ," $1,415.00 ", $707.50 ,12/4/2017,12/7/2017,Shipped
939071,785432, Park & Eat LLC, $801.00 ," $4,005.00 "," $2,002.50 ",12/2/2017,12/7/2017,Shipped
280732,985245, Quick Bite Convenience Stores, $388.00 ," $1,940.00 ", $970.00 ,12/2/2017,12/6/2017,Shipped
756135,785432, Park & Eat LLC, $867.00 ," $4,335.00 "," $2,167.50 ",12/1/2017,12/6/2017,Shipped
871605,152689, YT Restaurants, $486.00 ," $2,430.00 "," $1,215.00 ",12/1/2017,12/6/2017,Shipped
771452,325698, Cascade Grovers, $387.00 ," $1,935.00 ", $967.50 ,12/2/2017,12/5/2017,Shipped
897246,785432, Park & Eat LLC, $440.00 ," $2,200.00 "," $1,100.00 ",11/30/2017,12/5/2017,Shipped
887504,152689, YT Restaurants, $458.00 ," $2,290.00 "," $1,145.00 ",11/30/2017,12/5/2017,Shipped
392541,325698, Cascade Grovers, $181.00 , $905.00 , $452.50 ,12/1/2017,12/4/2017,Shipped
324745,152689, YT Restaurants, $240.00 ," $1,200.00 ", $600.00 ,11/29/2017,12/4/2017,Shipped
522454,452584, Acme Grocery Stores, $992.00 ," $4,960.00 "," $2,480.00 ",12/1/2017,12/3/2017,Shipped
402665,325698, Cascade Grovers, $198.00 , $990.00 , $495.00 ,12/1/2017,12/3/2017,Shipped
456010,152689, YT Restaurants, $953.00 ," $4,765.00 "," $2,382.50 ",11/28/2017,12/3/2017,Shipped
322730,985245, Quick Bite Convenience Stores, $652.00 ," $3,260.00 "," $1,630.00 ",11/28/2017,12/2/2017,Shipped
578631,325698, Cascade Grovers, $107.00 , $535.00 , $267.50 ,11/29/2017,12/1/2017,Shipped
147424,152689, YT Restaurants, $242.00 ," $1,210.00 ", $605.00 ,11/26/2017,12/1/2017,Shipped
971773,325698, Cascade Grovers, $306.00 ," $1,530.00 ", $765.00 ,11/28/2017,11/30/2017,Shipped
903848,325698, Cascade Grovers, $143.00 , $715.00 , $357.50 ,11/28/2017,11/30/2017,Shipped
