Order ID,Customer ID,Category,Cookies Shipped,Revenue,Cost,Order Date,Ship Date,Order Status
474264,152689, YT Restaurants, $466.00 ," $2,330.00 "," $1,165.00 ",12/30/2018,1/5/2019,Shipped
478235,152689, YT Restaurants, $524.00 ," $2,620.00 "," $1,310.00 ",12/29/2018,1/3/2019,Shipped
641929,452584, Acme Grocery Stores, $710.00 ," $3,550.00 "," $1,775.00 ",12/31/2018,1/2/2019,Shipped
684340,985245, Quick Bite Convenience Stores, $868.00 ," $4,340.00 "," $2,170.00 ",12/30/2018,1/2/2019,Shipped
278043,785432, Park & Eat LLC, $497.00 ," $2,485.00 "," $1,242.50 ",12/29/2018,1/2/2019,Shipped
786770,985245, Quick Bite Convenience Stores, $343.00 ," $1,715.00 ", $857.50 ,12/28/2018,1/1/2019,Shipped
589574,985245, Quick Bite Convenience Stores, $369.00 ," $1,845.00 ", $922.50 ,12/28/2018,1/1/2019,Shipped
487021,785432, Park & Eat LLC, $895.00 ," $4,475.00 "," $2,237.50 ",12/28/2018,1/1/2019,Shipped
397607,985245, Quick Bite Convenience Stores, $642.00 ," $3,210.00 "," $1,605.00 ",12/28/2018,12/31/2018,Shipped
219369,985245, Quick Bite Convenience Stores, $83.00 , $415.00 , $207.50 ,12/27/2018,12/31/2018,Shipped
602410,325698, Cascade Grovers, $65.00 , $325.00 , $162.50 ,12/28/2018,12/30/2018,Shipped
422605,325698, Cascade Grovers, $874.00 ," $4,370.00 "," $2,185.00 ",12/27/2018,12/30/2018,Shipped
715284,152689, YT Restaurants, $889.00 ," $4,445.00 "," $2,222.50 ",12/25/2018,12/30/2018,Shipped
871564,452584, Acme Grocery Stores, $551.00 ," $2,755.00 "," $1,377.50 ",12/27/2018,12/29/2018,Shipped
872190,985245, Quick Bite Convenience Stores, $213.00 ," $1,065.00 ", $532.50 ,12/25/2018,12/29/2018,Shipped
573690,985245, Quick Bite Convenience Stores, $760.00 ," $3,800.00 "," $1,900.00 ",12/25/2018,12/29/2018,Shipped
156934,452584, Acme Grocery Stores, $602.00 ," $3,010.00 "," $1,505.00 ",12/26/2018,12/28/2018,Shipped
374723,325698, Cascade Grovers, $224.00 ," $1,120.00 ", $560.00 ,12/25/2018,12/27/2018,Shipped
627519,152689, YT Restaurants, $764.00 ," $3,820.00 "," $1,910.00 ",12/22/2018,12/27/2018,Shipped
298803,152689, YT Restaurants, $543.00 ," $2,715.00 "," $1,357.50 ",12/22/2018,12/27/2018,Shipped
958705,985245, Quick Bite Convenience Stores, $562.00 ," $2,810.00 "," $1,405.00 ",12/22/2018,12/26/2018,Shipped
962598,152689, YT Restaurants, $850.00 ," $4,250.00 "," $2,125.00 ",12/20/2018,12/25/2018,Shipped
440125,325698, Cascade Grovers, $56.00 , $280.00 , $140.00 ,12/22/2018,12/24/2018,Shipped
172615,985245, Quick Bite Convenience Stores, $632.00 ," $3,160.00 "," $1,580.00 ",12/21/2018,12/24/2018,Shipped
493567,785432, Park & Eat LLC, $533.00 ," $2,665.00 "," $1,332.50 ",12/19/2018,12/24/2018,Shipped
