Order ID,Customer ID,Category,Cookies Shipped,Revenue,Cost,Order Date,Ship Date,Order Status
254941,785432, Park & Eat LLC, $441.00 ," $2,205.00 "," $1,102.50 ",12/30/2019,1/4/2020,Shipped
135063,785432, Park & Eat LLC, $566.00 ," $2,830.00 "," $1,415.00 ",12/29/2019,1/3/2020,Shipped
546482,325698, Cascade Grovers, $102.00 , $510.00 , $255.00 ,12/30/2019,1/2/2020,Shipped
117498,452584, Acme Grocery Stores, $560.00 ," $2,800.00 "," $1,400.00 ",12/30/2019,1/1/2020,Shipped
677337,325698, Cascade Grovers, $432.00 ," $2,160.00 "," $1,080.00 ",12/28/2019,12/30/2019,Shipped
976219,785432, Park & Eat LLC, $377.00 ," $1,885.00 ", $942.50 ,12/25/2019,12/30/2019,Shipped
842879,152689, YT Restaurants, $669.00 ," $3,345.00 "," $1,672.50 ",12/25/2019,12/30/2019,Shipped
444253,152689, YT Restaurants, $331.00 ," $1,655.00 ", $827.50 ,12/25/2019,12/30/2019,Shipped
814511,152689, YT Restaurants, $419.00 ," $2,095.00 "," $1,047.50 ",12/24/2019,12/29/2019,Shipped
449936,785432, Park & Eat LLC, $856.00 ," $4,280.00 "," $2,140.00 ",12/23/2019,12/27/2019,Shipped
581638,985245, Quick Bite Convenience Stores, $220.00 ," $1,100.00 ", $550.00 ,12/22/2019,12/26/2019,Shipped
925471,985245, Quick Bite Convenience Stores, $932.00 ," $4,660.00 "," $2,330.00 ",12/22/2019,12/26/2019,Shipped
540958,152689, YT Restaurants, $284.00 ," $1,420.00 ", $710.00 ,12/21/2019,12/26/2019,Shipped
770586,152689, YT Restaurants, $666.00 ," $3,330.00 "," $1,665.00 ",12/21/2019,12/26/2019,Shipped
217061,325698, Cascade Grovers, $696.00 ," $3,480.00 "," $1,740.00 ",12/23/2019,12/25/2019,Shipped
920874,325698, Cascade Grovers, $758.00 ," $3,790.00 "," $1,895.00 ",12/22/2019,12/25/2019,Shipped
800930,152689, YT Restaurants, $123.00 , $615.00 , $307.50 ,12/20/2019,12/25/2019,Shipped
497571,325698, Cascade Grovers, $88.00 , $440.00 , $220.00 ,12/21/2019,12/24/2019,Shipped
590099,325698, Cascade Grovers, $486.00 ," $2,430.00 "," $1,215.00 ",12/21/2019,12/23/2019,Shipped
749043,785432, Park & Eat LLC, $841.00 ," $4,205.00 "," $2,102.50 ",12/18/2019,12/23/2019,Shipped
822138,325698, Cascade Grovers, $766.00 ," $3,830.00 "," $1,915.00 ",12/20/2019,12/22/2019,Shipped
233649,325698, Cascade Grovers, $619.00 ," $3,095.00 "," $1,547.50 ",12/19/2019,12/21/2019,Shipped
316393,325698, Cascade Grovers, $59.00 , $295.00 , $147.50 ,12/19/2019,12/21/2019,Shipped
917373,325698, Cascade Grovers, $81.00 , $405.00 , $202.50 ,12/19/2019,12/21/2019,Shipped
353461,985245, Quick Bite Convenience Stores, $780.00 ," $3,900.00 "," $1,950.00 ",12/18/2019,12/21/2019,Shipped
474397,152689, YT Restaurants, $745.00 ," $3,725.00 "," $1,862.50 ",12/15/2019,12/20/2019,Shipped
985401,325698, Cascade Grovers, $635.00 ," $3,175.00 "," $1,587.50 ",12/16/2019,12/19/2019,Shipped
982664,985245, Quick Bite Convenience Stores, $484.00 ," $2,420.00 "," $1,210.00 ",12/15/2019,12/19/2019,Shipped
287367,985245, Quick Bite Convenience Stores, $344.00 ," $1,720.00 ", $860.00 ,12/15/2019,12/19/2019,Shipped
530582,985245, Quick Bite Convenience Stores, $944.00 ," $4,720.00 "," $2,360.00 ",12/15/2019,12/19/2019,Shipped
933038,325698, Cascade Grovers, $593.00 ," $2,965.00 "," $1,482.50 ",12/16/2019,12/18/2019,Shipped
273543,985245, Quick Bite Convenience Stores, $932.00 ," $4,660.00 "," $2,330.00 ",12/14/2019,12/18/2019,Shipped
178573,985245, Quick Bite Convenience Stores, $498.00 ," $2,490.00 "," $1,245.00 ",12/14/2019,12/18/2019,Shipped
754527,985245, Quick Bite Convenience Stores, $516.00 ," $2,580.00 "," $1,290.00 ",12/14/2019,12/18/2019,Shipped
904112,452584, Acme Grocery Stores, $752.00 ," $3,760.00 "," $1,880.00 ",12/15/2019,12/17/2019,Shipped
341040,325698, Cascade Grovers, $336.00 ," $1,680.00 ", $840.00 ,12/15/2019,12/17/2019,Shipped
835654,325698, Cascade Grovers, $747.00 ," $3,735.00 "," $1,867.50 ",12/15/2019,12/17/2019,Shipped
533657,785432, Park & Eat LLC, $542.00 ," $2,710.00 "," $1,355.00 ",12/12/2019,12/16/2019,Shipped
639344,325698, Cascade Grovers, $304.00 ," $1,520.00 ", $760.00 ,12/12/2019,12/15/2019,Shipped
511887,985245, Quick Bite Convenience Stores, $412.00 ," $2,060.00 "," $1,030.00 ",12/12/2019,12/15/2019,Shipped
468780,785432, Park & Eat LLC, $483.00 ," $2,415.00 "," $1,207.50 ",12/11/2019,12/15/2019,Shipped
716846,325698, Cascade Grovers, $937.00 ," $4,685.00 "," $2,342.50 ",12/12/2019,12/14/2019,Shipped
324961,452584, Acme Grocery Stores, $213.00 ," $1,065.00 ", $532.50 ,12/11/2019,12/13/2019,Shipped
143468,325698, Cascade Grovers, $894.00 ," $4,470.00 "," $2,235.00 ",12/10/2019,12/13/2019,Shipped
367682,325698, Cascade Grovers, $804.00 ," $4,020.00 "," $2,010.00 ",12/9/2019,12/12/2019,Shipped
728576,985245, Quick Bite Convenience Stores, $429.00 ," $2,145.00 "," $1,072.50 ",12/8/2019,12/12/2019,Shipped
976354,985245, Quick Bite Convenience Stores, $227.00 ," $1,135.00 ", $567.50 ,12/8/2019,12/12/2019,Shipped
779652,785432, Park & Eat LLC, $251.00 ," $1,255.00 ", $627.50 ,12/7/2019,12/12/2019,Shipped
982745,325698, Cascade Grovers, $861.00 ," $4,305.00 "," $2,152.50 ",12/9/2019,12/11/2019,Shipped
680956,325698, Cascade Grovers, $598.00 ," $2,990.00 "," $1,495.00 ",12/9/2019,12/11/2019,Shipped
686937,452584, Acme Grocery Stores, $922.00 ," $4,610.00 "," $2,305.00 ",12/8/2019,12/10/2019,Shipped
619746,985245, Quick Bite Convenience Stores, $796.00 ," $3,980.00 "," $1,990.00 ",12/7/2019,12/10/2019,Shipped
717541,325698, Cascade Grovers, $790.00 ," $3,950.00 "," $1,975.00 ",12/7/2019,12/9/2019,Shipped
889527,325698, Cascade Grovers, $692.00 ," $3,460.00 "," $1,730.00 ",12/6/2019,12/8/2019,Shipped
900019,785432, Park & Eat LLC, $328.00 ," $1,640.00 ", $820.00 ,12/4/2019,12/8/2019,Shipped
766214,785432, Park & Eat LLC, $718.00 ," $3,590.00 "," $1,795.00 ",12/3/2019,12/8/2019,Shipped
848220,152689, YT Restaurants, $318.00 ," $1,590.00 ", $795.00 ,12/3/2019,12/8/2019,Shipped
113536,152689, YT Restaurants, $770.00 ," $3,850.00 "," $1,925.00 ",12/3/2019,12/8/2019,Shipped
130740,452584, Acme Grocery Stores, $345.00 ," $1,725.00 ", $862.50 ,12/5/2019,12/7/2019,Shipped
278111,452584, Acme Grocery Stores, $754.00 ," $3,770.00 "," $1,885.00 ",12/4/2019,12/6/2019,Shipped
253636,325698, Cascade Grovers, $770.00 ," $3,850.00 "," $1,925.00 ",12/4/2019,12/6/2019,Shipped
125749,325698, Cascade Grovers, $465.00 ," $2,325.00 "," $1,162.50 ",12/4/2019,12/6/2019,Shipped
270489,152689, YT Restaurants, $207.00 ," $1,035.00 ", $517.50 ,12/1/2019,12/6/2019,Shipped
651398,152689, YT Restaurants, $403.00 ," $2,015.00 "," $1,007.50 ",11/30/2019,12/5/2019,Shipped
441125,985245, Quick Bite Convenience Stores, $318.00 ," $1,590.00 ", $795.00 ,11/30/2019,12/4/2019,Shipped
487494,985245, Quick Bite Convenience Stores, $482.00 ," $2,410.00 "," $1,205.00 ",11/30/2019,12/4/2019,Shipped
908116,785432, Park & Eat LLC, $87.00 , $435.00 , $217.50 ,11/30/2019,12/4/2019,Shipped
257036,325698, Cascade Grovers, $366.00 ," $1,830.00 ", $915.00 ,12/1/2019,12/3/2019,Shipped
150495,325698, Cascade Grovers, $653.00 ," $3,265.00 "," $1,632.50 ",12/1/2019,12/3/2019,Shipped
799706,325698, Cascade Grovers, $280.00 ," $1,400.00 ", $700.00 ,11/30/2019,12/3/2019,Shipped
619901,325698, Cascade Grovers, $233.00 ," $1,165.00 ", $582.50 ,11/28/2019,11/30/2019,Shipped
271429,325698, Cascade Grovers, $831.00 ," $4,155.00 "," $2,077.50 ",11/28/2019,11/30/2019,Shipped
500782,985245, Quick Bite Convenience Stores, $802.00 ," $4,010.00 "," $2,005.00 ",11/27/2019,11/30/2019,Shipped
931747,152689, YT Restaurants, $486.00 ," $2,430.00 "," $1,215.00 ",11/24/2019,11/29/2019,Shipped
593344,325698, Cascade Grovers, $928.00 ," $4,640.00 "," $2,320.00 ",11/26/2019,11/28/2019,Shipped
152600,152689, YT Restaurants, $958.00 ," $4,790.00 "," $2,395.00 ",11/23/2019,11/28/2019,Shipped
366379,325698, Cascade Grovers, $385.00 ," $1,925.00 ", $962.50 ,11/25/2019,11/27/2019,Shipped
949248,785432, Park & Eat LLC, $646.00 ," $3,230.00 "," $1,615.00 ",11/22/2019,11/27/2019,Shipped
