Order ID,Customer ID,Category,Cookies Shipped,Revenue,Cost,Order Date,Ship Date,Order Status
279099,985245, Quick Bite Convenience Stores, $77.00 , $385.00 , $192.50 ,11/18/2020,11/21/2020,Shipped
221661,152689, YT Restaurants, $910.00 ," $4,550.00 "," $2,275.00 ",11/16/2020,11/21/2020,Shipped
196228,325698, Cascade Grovers, $300.00 ," $1,500.00 ", $750.00 ,11/18/2020,11/20/2020,Shipped
499944,325698, Cascade Grovers, $511.00 ," $2,555.00 "," $1,277.50 ",11/18/2020,11/20/2020,Shipped
462194,985245, Quick Bite Convenience Stores, $97.00 , $485.00 , $242.50 ,11/17/2020,11/20/2020,Shipped
288845,785432, Park & Eat LLC, $868.00 ," $4,340.00 "," $2,170.00 ",11/16/2020,11/20/2020,Shipped
408539,452584, Acme Grocery Stores, $211.00 ," $1,055.00 ", $527.50 ,11/17/2020,11/19/2020,Shipped
962242,985245, Quick Bite Convenience Stores, $549.00 ," $2,745.00 "," $1,372.50 ",11/16/2020,11/19/2020,Shipped
559502,985245, Quick Bite Convenience Stores, $469.00 ," $2,345.00 "," $1,172.50 ",11/15/2020,11/19/2020,Shipped
936106,152689, YT Restaurants, $878.00 ," $4,390.00 "," $2,195.00 ",11/14/2020,11/19/2020,Shipped
716031,985245, Quick Bite Convenience Stores, $701.00 ," $3,505.00 "," $1,752.50 ",11/14/2020,11/18/2020,Shipped
410303,785432, Park & Eat LLC, $198.00 , $990.00 , $495.00 ,11/14/2020,11/18/2020,Shipped
634504,452584, Acme Grocery Stores, $415.00 ," $2,075.00 "," $1,037.50 ",11/15/2020,11/17/2020,Shipped
718857,152689, YT Restaurants, $995.00 ," $4,975.00 "," $2,487.50 ",11/12/2020,11/17/2020,Shipped
478868,985245, Quick Bite Convenience Stores, $885.00 ," $4,425.00 "," $2,212.50 ",11/13/2020,11/16/2020,Shipped
752620,985245, Quick Bite Convenience Stores, $205.00 ," $1,025.00 ", $512.50 ,11/12/2020,11/16/2020,Shipped
475652,985245, Quick Bite Convenience Stores, $154.00 , $770.00 , $385.00 ,11/12/2020,11/16/2020,Shipped
135130,152689, YT Restaurants, $236.00 ," $1,180.00 ", $590.00 ,11/11/2020,11/16/2020,Shipped
